"PIB File Number","Date","Disposition","Service Type","Force Type","Force Level","Officer Race","Officer Gender","Officer Age","Officers Yrs of Service","Subject Gender","Subject Race","Subject Age","Subject Injured","UOF Reason","Officer Injured","Number of Officers","Binning Number of Officers","Force.Type.Binning"
"FTN2016-0111","02/22/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Male","51","20","Male | Male","Black | White"," | 55","No | No","refuse verbal commands","No",1,"1","2"
"FTN2016-0110","02/22/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser | Force (Take Down) | Force (Take Down) | Force (Take Down) | Force (Take Down)","L1 | L2 | L2 | L2 | L2","Black | Black | White | Black | Black","Female | Female | Male | Female | Female","33 | 33 | 61 | 38 | 40","12 | 12 | 11 | 17 | 23","Male","White","34","No","refuse verbal commands","No | No | No | No | No",5,"3+","2"
"FTN2016-0113","02/22/2016","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","Black","Male","41","13","Male","Black","28","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0114","02/23/2016","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","Race-Unknown","Male","28","6","Male","Black","45","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0116","02/24/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Male","36 | 39","16 | 18","Male","Black","32","No",NA,"No | No",2,"2","1"
"FTN2016-0115","02/24/2016","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","White","Male",NA,"6",NA,NA,"32","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0117","02/26/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Male","43","6","Male","Black","38","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0119","02/29/2016","Use Of Force Authorized",NA,"Hands","L1","Black","Male","53","4","Male","Black","14","No","Battery on Police Officer","Yes",1,"1","1"
"FTN2016-0118","02/29/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Male","36 | 42","16 | 20","Male | Male | Female | Female","Black | Black | Black | Black","39 | 40 | 32 | 33","No | No | No | No",NA,"No | No",2,"2","1"
"FTN2016-0120","03/01/2016","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited) | Hands","L1 | L1","White | Black","Male | Male","29 | 27","5 | 8","Male","Black","23","Yes","refuse verbal commands","No | No",2,"2","1"
"FTN2016-0120","03/01/2016","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited) | Hands","L1 | L1","White | Black","Male | Male","29 | 27","5 | 8","Male","Black","23","Yes","refuse verbal commands","No | No",2,"2","1"
"FTN2016-0002","03/01/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","35","11","Male","White","29","No",NA,"No",1,"1","1"
"FTN2016-0122","03/02/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser | Hands | Other","L1 | L1 | L1","White | Black | White","Male | Male | Male","38 | 55 | 46","16 | 29 | 29","Female | Female","Black | Black","27 | 37","No | No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2016-0121","03/02/2016","Use Of Force Authorized","Arresting","Force (Take Down)","L2","Black","Male","35","9","Male","White","43","Yes","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0124","03/03/2016","Use Of Force Authorized","Arresting","Hands | Hands | Hands | Hands | Hands | Hands","L1 | L1 | L1 | L1 | L1 | L1","Black | White | White | Asian/Pacifi | Asian/Pacifi | White","Female | Male | Male | Male | Male | Male","31 | 32 | 33 | 41 | 41 | ","12 | 11 | 9 | 5 | 5 | 7","Male","White","34","No","Battery on Police Officer","No | No | No | No | No | No",6,"3+","1"
"FTN2016-0124","03/03/2016","Use Of Force Authorized","Arresting","Hands | Hands | Hands | Hands | Hands | Hands","L1 | L1 | L1 | L1 | L1 | L1","Black | White | White | Asian/Pacifi | Asian/Pacifi | White","Female | Male | Male | Male | Male | Male","31 | 32 | 33 | 41 | 41 | ","12 | 11 | 9 | 5 | 5 | 7","Male","White","34","No","Battery on Police Officer","No | No | No | No | No | No",6,"3+","1"
"FTN2016-0135","03/06/2016","Use Of Force Authorized","Arresting","Force (Take Down) | Firearm (Exhibited)","L2 | L1","White | Race-Unknown","Male | Male","32 | 28","6 | 6","Male","Black","26","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0134","03/06/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","37","14","Female | Male | Male | Male","White | Asian | Black | Black","38 | 32 | 60 | 61","No | No | No | No",NA,"No",1,"1","1"
"FTN2016-0125","03/06/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Male","33","13","Male","Black","34","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0136","03/07/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Male","39 | 42","18 | 20","Male | Female","Black | Black","45 | 64","No | No",NA,"No | No",2,"2","1"
"FTN2016-0127","03/07/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Male","24 | 28","6 | 6","Male","Black","21","No",NA,"No | No",2,"2","1"
"FTN2016-0130","03/08/2016","Use Of Force Authorized",NA,"Force (Take Down)","L2","White","Male","37","20","Female","White","33","Yes","refuse verbal commands","Yes",1,"1","1"
"FTN2016-0128","03/08/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","39 | 47","18 | 26","Male | Male","Black | Black","36 | 35","No | No",NA,"No | No",2,"2","1"
"FTN2016-0129","03/08/2016","Use Of Force Authorized","Call for Service","Hands | Hands","L1 | L1","Black | Black","Female | Female","36 | 34","17 | 17","Male","Black","17","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0132","03/08/2016","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Canine (No Bite) | Firearm (Exhibited)","L1 | L1 | L1","White | White | Black","Male | Male | Male","39 | 48 | 28","11 | 29 | 8","Male | Male | Male | Male","Black | Black | Black | Black","18 | 18 | 16 | 16","No | No | No | No",NA,"No | No | No",3,"3+","2"
"FTN2016-0131","03/08/2016","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited) | Hands","L1 | L1","White | White","Male | Male","33 | ","9 | 7","Male | Male","Black | Black","18 | 22","No | No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0138","03/09/2016","Use Of Force Authorized",NA,"CEW Exhibited/Laser","L1","Black","Male","35","8","Male","Black","44","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0137","03/09/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","36","16","Female","Black","17","No",NA,"No",1,"1","1"
"FTN2016-0139","03/09/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | Black","Male | Male","42 | 39","11 | 18","Female | Female | Male","Black | Black | Black","39 | 1 | 11","No | No | No",NA,"No | No",2,"2","1"
"FTN2016-0140","03/10/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","51","20","Male","Black","27","No",NA,"No",1,"1","1"
"FTN2016-0141","03/10/2016","Use Of Force Authorized",NA,"Firearm (Exhibited)","L1","White","Male","30","8","Male","Black","37","No",NA,"No",1,"1","1"
"FTN2016-0142","03/11/2016","Use Of Force Authorized","Call for Service","Force (Escort Tech) | Hands | Force (Escort Tech) | Hands","L1 | L1 | L1 | L1","White | White | White | White","Male | Male | Male | Male","30 | 30 | 26 | 26","8 | 8 | 6 | 6","Male","Black","23","No","refuse verbal commands","No | No | No | No",4,"3+","2"
"FTN2016-0143","03/11/2016","Use Of Force Authorized",NA,"Hands | Hands | Hands","L1 | L1 | L1","Hispanic | Black | White","Male | Male | Female","27 | 33 | 39","9 | 9 | 7","Male","Black","38","No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2016-0144","03/12/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | White","Male | Male","42 | 28","15 | 6","Male","Black","35","No",NA,"No | No",2,"2","1"
"FTN2016-0145","03/12/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser | CEW Deployment","L1 | L2","Black | Black","Male | Male","63 | 47","42 | 12","Male","Black","30","Yes","refuse verbal commands","No | No",2,"2","2"
"FTN2016-0146","03/12/2016","Use Of Force Authorized","Arresting","Hands | Hands","L1 | L1","Black | White","Male | Female","33 | 39","9 | 7","Male | Male","Black | Black","44 | 22","Yes | Yes","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0148","03/13/2016","Use Of Force Authorized","Arresting","Hands | Hands","L1 | L1","Black | Black","Male | Male","34 | 43","12 | 23","Male","White","38","Yes","Battery on Police Officer","No | No",2,"2","1"
"FTN2016-0158","03/14/2016","Pending","Call for Service","Firearm (Exhibited)","L1","Black","Male","33","14","Male","Black","21","No","Resisting Officer w/Weapon","No",1,"1","1"
"FTN2016-0149","03/14/2016","Pending","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Asian/Pacifi | White","Male | Male","31 | 38","14 | 14","Female | Male | Female","Black | Black | Black","40 | 37 | 30","No | No | No",NA,"No | No",2,"2","1"
"FTN2016-0153","03/15/2016","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited)","L1","White","Male","29","5","Male","Black","29","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0151","03/16/2016","Use Of Force Authorized","Call for Service","Force (Take Down) | Force (Take Down)","L2 | L2","White | Race-Unknown","Male | Male","32 | 28","6 | 6","Male","Black","27","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0152","03/16/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Force (Take Down)","L1 | L1 | L2","Black | White | White","Male | Male | Male","32 | 29 | 29","13 | 5 | 5","Male | Male","Black | Black","19 | 24","No | No","Resisting Officer w/Weapon","No | No | No",3,"3+","1"
"FTN2016-0157","03/17/2016","Use Of Force Authorized","Arresting","Firearm (Exhibited)","L1","White","Male","37","8","Male","Black","25","No",NA,"No",1,"1","1"
"FTN2016-0154","03/17/2016","Use Of Force Authorized",NA,"Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Male","46 | 55","24 | 24","Male","Black","17","No",NA,"No | No",2,"2","1"
"FTN2016-0156","03/17/2016","Use Of Force Authorized","Call for Service","Hands | CEW Exhibited/Laser | Force (Escort Tech) | Hands | CEW Deployment","L1 | L1 | L1 | L1 | L2","White | White | White | Black | Black","Male | Male | Male | Male | Male","45 | 39 | 39 | 38 | 38","12 | 18 | 18 | 3 | 3","Female","Black","22","Yes",NA,"No | No | No | Yes | Yes",5,"3+","2"
"FTN2016-0159","03/18/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Female","29","6","Male","Race-Unknown","31","No",NA,"No",1,"1","1"
"FTN2016-0160","03/20/2016","Use Of Force Authorized","Traffic Stop","Hands | Force (Take Down) | Hands | Force (Take Down) | Hands","L1 | L2 | L1 | L2 | L1","White | White | Black | Black | Black","Male | Male | Male | Male | Male","33 | 33 | 44 | 44 | 42","16 | 16 | 20 | 20 | 19","Male","Black","21","No","Resisting Lawful Arrest","Yes | Yes | Yes | Yes | No",5,"3+","1"
"FTN2016-0161","03/20/2016","Use Of Force Authorized","Call for Service","Hands | CEW Exhibited/Laser | Hands","L1 | L1 | L1","White | White | White","Male | Male | Male","32 | 42 | 42","16 | 23 | 23","Male","Black","39","No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2016-0161","03/20/2016","Use Of Force Authorized","Call for Service","Hands | CEW Exhibited/Laser | Hands","L1 | L1 | L1","White | White | White","Male | Male | Male","32 | 42 | 42","16 | 23 | 23","Male","Black","39","No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2016-0162","03/20/2016","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited)","L1","Black","Male","27","11","Male","Black","52","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0163","03/21/2016","Use Of Force Authorized",NA,"Hands","L1","Black","Male","40","23","Male","Black","39","Yes",NA,"Yes",1,"1","1"
"FTN2016-0164","03/22/2016","Use Of Force Authorized","Call for Service","Force (Take Down) | Hands | Hands | Hands","L2 | L1 | L1 | L1","Black | Hispanic | Black | White","Male | Male | Female | Male","39 | 41 | 42 | 30","12 | 21 | 6 | 6","Male","Black","32","No","refuse verbal commands","No | No | No | No",4,"3+","1"
"FTN2016-0167","03/23/2016","Use Of Force Authorized","Call for Service","Hands | Canine (No Bite) | Firearm (Exhibited) | Force (Take Down)","L1 | L1 | L1 | L2","Black | Black | White | White","Male | Male | Male | Male","32 | 45 | 32 | 32","11 | 20 | 9 | 9","Male","Black","17","No",NA,"No | No | No | No",4,"3+","2"
"FTN2016-0166","03/23/2016","Use Of Force Authorized","Arresting","CEW Exhibited/Laser","L1","Black","Male","53","17","Male","Black","45","No","refuse verbal commands","No",1,"1","2"
"FTN2017-0017","01/16/2017","Use Of Force Authorized","Arresting","Force (Escort Tech) | Force (Escort Tech)","L1 | L1","Black | Black","Female | Male","47 | 22","28 | 5","Male","Black","32","No","Resisting Lawful Arrest","No | No",2,"2","2"
"FTN2017-0019","01/16/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","White","Male",NA,"6","Male","Black","31","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2017-0022","01/17/2017","Use Of Force Authorized","Arresting","Force (Escort Tech)","L1","Black","Male","31","8","Male","Black","47","No","refuse verbal commands","No",1,"1","2"
"FTN2017-0021","01/17/2017","Use Of Force Authorized","Arresting","Force (Take Down)","L2","White","Male","27","6","Male","Black","32","No","refuse verbal commands","No",1,"1","1"
"FTN2017-0023","01/17/2017","Use Of Force Authorized","Arresting","Canine (No Bite)","L2","White","Male","49","29","Male","Black","20","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2017-0025","01/19/2017","Use Of Force Authorized","Arresting","Force (Take Down) | CEW Exhibited/Laser","L2 | L1","Black | White","Male | Male","34 | 28","14 | 7","Male","Black","28","Yes","Resisting Lawful Arrest","Yes | No",2,"2","2"
"FTN2017-0029","01/20/2017","Use Of Force Authorized","Arresting","Force (Take Down) | Force (Take Down) | Force (Take Down) | CEW Deployment | Force (Take Down) | Force (Take Down)","L2 | L2 | L2 | L2 | L2 | L2","White | White | White | White | Hispanic | White","Male | Male | Male | Male | Male | Male","42 | 51 | 45 |  | 34 | 33","12 | 14 | 22 | 6 | 5 | 5","Male | Male | Male | Female | Male | Male | Male | Female | Male","White | White | White | White | White | White | White | White | White","25 | 28 | 28 | 26 | 27 | 26 | 29 | 27 | 27","Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes","Resisting Lawful Arrest","Yes | No | No | Yes | Yes | No",6,"3+","2"
"FTN2017-0029","01/20/2017","Use Of Force Authorized","Arresting","Force (Take Down) | Force (Take Down) | Force (Take Down) | CEW Deployment | Force (Take Down) | Force (Take Down)","L2 | L2 | L2 | L2 | L2 | L2","White | White | White | White | Hispanic | White","Male | Male | Male | Male | Male | Male","42 | 51 | 45 |  | 34 | 33","12 | 14 | 22 | 6 | 5 | 5","Male | Male | Male | Female | Male | Male | Male | Female | Male","White | White | White | White | White | White | White | White | White","25 | 28 | 28 | 26 | 27 | 26 | 29 | 27 | 27","Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes","Resisting Lawful Arrest","Yes | No | No | Yes | Yes | No",6,"3+","2"
"FTN2017-0026","01/20/2017","Use Of Force Authorized","Call for Service","Hands","L1",NA,NA,NA,NA,"Female","Black","32","No","Battery on Police Officer","No",NA,NA,"1"
"FTN2017-0028","01/20/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","White","Male","30","5","Male","Black","25","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2017-0027","01/20/2017","Use Of Force Authorized","Traffic Stop","Canine (No Bite)","L2","White","Male","49","29","Male","Black","23","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2017-0030","01/20/2017","Use Of Force Authorized","Arresting","Force (Defense Tech) | Force (Take Down) | Force (Take Down)","L2 | L2 | L2","White | White | Black","Male | Male | Male","57 | 57 | 34","2 | 2 | 9","Male | Male","White | White","31 | 26","No | No","Resisting Lawful Arrest","No | No | Yes",3,"3+","1"
"FTN2017-0032","01/22/2017","Use Of Force Authorized","Call for Service","Hands","L1","Black","Male","48","14","Female","Black","49","Yes","Resisting Lawful Arrest","No",1,"1","1"
"FTN2017-0033","01/22/2017","Use Of Force Authorized","Arresting","Force (Take Down)","L2","White","Male","39","11","Male","Black","51","Yes","Escape","No",1,"1","1"
"FTN2017-0034","01/23/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | Black","Male | Male","32 | 41","11 | 16","Male | Male | Female | Female","Black | White | White | Black","24 | 47 | 48 | 24","No | No | No | No","refuse verbal commands","No | No",2,"2","1"
"FTN2017-0035","01/24/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","White","Male","30","5","Male","Black","26","No",NA,"No",1,"1","1"
"FTN2017-0037","01/24/2017","Use Of Force Authorized","Arresting","Firearm (Discharged) | Firearm (Exhibited)","L4 | L1","Black | Black","Male | Male","28 | 29","11 | 8","Male | Male | Male","Black | Black | Black","27 | 30 | 31","Yes | Yes | Yes","Resisting Officer w/Weapon","No | No",2,"2","3"
"FTN2017-0039","01/24/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","30 | 47","12 | 26","Male | Male","Black | Black","30 | 31","No | No","Escape","No | No",2,"2","1"
